리뷰,평점,라벨링
"여기 분위기 좋고 친절하고 다 좋은데
매니저인지 키작고 안경낀 남자 매니저인지..너무 불친절...
기분나빠서  다시는 가고싶지 않음.",3,0
잡내나요,1,0
메뉴가 빨리나옴 맛은 무난햇어요,3,0
연어 맛은 그럭저럭인데 밥에 뿌리는 후리가케 맛이 강하네요. 자리 좁고 평범해요.,3,0
"가격대비 그냥 그랬어요 ..
재방문은 안할거같아요",3,0
"대기가 너무 길었는데 기다리다 보니까
테이블은 비어있는데 일하는 분들 인원이 적어서인지 테이블 안치워져있고 음식이 뭐가 안나온지도 모르고
너무 정신 없었습니다.맛도 줄서서 기다리며 먹을 정도는 아니네요.",2,0
비싼빵~,2.5,0
주문 전에 짜지않게 조절해달라고 주문하기,3,0
분위기 갑! 직원분들도 친절합니다!ㅎㅎ,3.5,0
.,2.5,0
37살면서 가본 식당중에 가장 기본이 안된 식당이다. 30분 웨이팅은 손님이 선택하는 일이지만 식당에 들어서고 음식이 30분 이상 나오지 않는건 기본적으로 이해할 수 없다. 몇번이고 확인을 했지만 짜증을 내던 종업원과 주문이 안들어갔다는 관리자(?)로 보이는 아줌마의 응대.. 제주도 여행을 일주일 동안 하면서 가장 최악의 식당으로 기억남을것 같다. 진짜 육지에서 이따위로 장사하면 한달도 안되서 망할텐데 참 운이 좋은 사람들이다.,0.5,0
"순한맛 떡볶이는 별루 매운맛이 맛있는듯.
순대존맛",3.5,0
"너무 추워서 밖에서 못먹은게 아쉽네요ㅠㅠ
한옥방이라 조용히 이야기할수있어서 좋았습니다 음식은 그냥 그래용 맥주 마실분들 가면좋겠네요",3.5,0
해운대보다 별로에용,3,0
맛있게잘먹었어요~,3,0
제주에만 있는 음식이라 한번쯤 가볼만한데  기다려서 먹을 맛은 아니예요  아마 위치때문에 항상 손님은 많은거 같네요 거의 오만원돈 쓰고 현금영수증 부탁드렸는데 바빠 그런지 한숨쉬고 언짢아하시네요 ㅡㅡ 전 다시는 안가요 ㅋ,0.5,0
"#콰트로포르마지피자 - 메뉴가 나왔는데 “주문하신 고르곤졸라 나왔습니다”리고 하여 콰트로포르마지피자 시켰다고 하니까 “아 잠시만요”하고 주방으로 갔다 오더니 “이거 콰트로포르마지피자입니다. 바질이 다떨어져서 위에 
못얹었어요”라고 하셨어요. 어이가 없었지만 그냥 먹자 하고 먹었는데 맛도 별로고 일단 아무리 바질이라고 해도 원래 레시피에 있는 거면 그대로 주거나 미리 말을 해줘야하는거 아닐까요? 그 직원분도 그 바질로 콰트로모르마
지인지 고르곤졸라인지 구분하시는 거 같던데 손님 입장으로썬 상당히 불쾌했네요^^ 관자 파스타도 십원짜리 만한 관자 3개 나오고,, 메뉴나와서 먹자마자 괜히 왔다라는 생각이 오조오억번 들었답니다:) 하하!!!!!!!!!! 어우 ...",1,0
"인스타나 블로그에 방문후기가 많아서 가봤더니 1층에서부터 안치운 테이블이 가득하고 어디 앉으라는 말도 없었습니다,, 주문하고 15분여정도 지나서야 밑반찬셋팅에 그것도 안한 테이블이 수두룩하더군요. 맛은 어땠냐면 밑반찬이 제일 맛있었습니다ㅎ 앞접시는 설거지는 하고 나온건지..싶은 수준이었구요 돈버리고싶은거 아니면 안가는거 추천합니다. 제가 가본 관광지 맛집 중에 제일 최악이었습니다!ㅎㅎ 살수율은 대게가 홍게 수준이었습니다",0.5,0
넘비싸요ㅠ,3,0
뷰맛집! 커피는 썩^_^;;,3.5,0
줄 1시간 넘게 서서 들어가서 먹었다 맛있다! 시장이 반찬이다.,3.5,0
뷰맛집. 산방산케이크는 정말 단거 조아하는 사람만 드세여 개당 1만원정도하는 금액의 맛은 아니었다구 생각해유 하지만 뷰가 체고,3.5,0
"사람이 많은데 포스가 2개 밖에 없고 베이커리 수준이 다소 떨어짐. 규모와 인테리어에 비해 실망...
음료는 거의 만원에 가까운 금액인데 양도 조금주고
얼음은 왜 넣는 둥 마는 둥 미지근해서 어이가 없네요.",2.5,0
"기대가 너무 컸나봐요.
다른 종류를 먹어봐야겠어요.",2.5,0
"목살은 퍽퍽하고 숙성돼지, 흑삼겹 , 볶음밥 무난함 시그니쳐 메뉴는 품절이라 못먹어서 모름 서울이나 다른 제주도 식당도 이정도는 함 굳이 웨이팅하면서까지 먹을필요 없는 곳",0.5,0
"맛나요
좀비싸요",3,0
전에 몇 번 갔을 때 음식이 너무 괜찮아서 가족외식으로 한 번 더 방문했습니다. 음식은 여전히 너무 맛있었어요. 그런데 가족들 오기 전에 주차등록이 몇 시간되냐고 여쭤보니 최대 한시간이라고 하시더라구요. 너무 짧다싶어서 다먹고 결제할 때 똑같은 직원분께 여쭤보니 결제금액 보시더니 두시간까지라고 하시네요. 결제 금액에 따라 주차시간이 달라지는거면 차라리 그렇다고 말씀해주시면 좋겠어요. 또 식사가 나오기 전에 테이블에서 냄새가 나서 빈 자리로 옮길 수 있냐고 여쭤보니 난처해하시면서 좀 번거롭다고 대놓고 말씀하셔서 당황했어요. 음식은 너무 만족스럽지만 직원분들께서 조금 더 서비스에 신경써주시면 좋을 것 같습니다.  ,3.5,0
"핫아메리카노를 시켰는데 아이스가 나와서 바꿔 달라 했더니 매우 불쾌한 표정으로 대답도 없이 바꿔 주더군요.  레모네이드에선 레몬에 붙어있던 스티커가 둥둥 떠다니고요. 보존제 덕지
덕지한 레몬을 어떻게 씻어길래 싶은 순간이었으나 아까 아메리카노에서의 불쾌한 표정에 그냥 먹었습니다.  마카롱 꼬끄는 이렇기 딱딱한게 맞나 싶고 잘라지지도 않는 나이프는 왜 줬나 
싶네요   뭐. 마카롱 비쥬얼 이쁘고 크림 맛도 좋습니다.  이름 좀 났다는 인스타 맛집들은 왜이리 불친절한가 생각하며 나왔습니다.",1.5,0
떡이 맛있어요.  떡볶이 너무 달아서 충격받았어요.,2,0
"간이 무지 쎄여
옴총 달고 짜고ㅠㅠ",3,0
맛 굿,3,0
"식당이 위치한 바닷가 풍경이 매우 빼어납니다. 실제로 해녀분들이 수시로 찾아와 재료를 공급해주시고요. 

다만 직원분들이 마스크를 잘 착용해주셔야 손님들이 좀더 마음편하게 음식을 즐길 수 있을 것 같습니다.",3,0
"위치 ㅡ 교차로 주유소 뒷편이라 찾기 어렶지 않음 주차 ㅡ 부족해보이지는 않지만 코로나 여파인듯 내부 ㅡ 요즘 외곽에 생기는 베이커리의 전형적인 형태, 거대한 공간 많은 좌석 중앙 분수(?) 계단식좌석 등 다양한 좌석, 특히 
신발벗고 이용하는 좌식석 테이블이 많음(여름에 슬리퍼 맨발 사용자 후 관리 상태 걱정, 고깃집 방바닥?) 가격 ㅡ 뭘 바라지는 않지만 그냥 무조건 비싸게 파는중, 이런것도 유행인지 맛 ㅡ 빵순이의 냉정한 평점(F점)   커피도 그
닥 ㅡㅡ 서비스 ㅡ 요청 후 바로바로 해주려함.  굿 총평 ㅡ 이쁘기만한곳은 역시 한번의 경험으로 충분",2,0
진짜 맛있어요,3.5,0
나랑은 안맞는곳,3,0
"밑반찬 구성은 양 많고 괜찮은데, 갈치조림의 양은 많진 않은것 같아요. 2인이 먹기엔 가격이 좀 부담스러워용",3.5,0
"라라관 부산대부터 지금까지 잘 다니고 있는데 맛은 진짜 현지맛!! 맛으로는 합격 

그러나... 최근에 다시 방문했는데 전체적으로 구성이 많이 부실해진 느낌이예요ㅠ 야채도 너무 적어져서 당면이랑 고기만 들어있는 느낌;; 숙주,청경채,버섯 등 예전보다 양도 많이 줄어서 좀 실망했네여ㅠㅠ 담부턴 돈 내더라도 사리 모둠추가해서 먹을래요",3.5,0
오랜만에 먹었는데 ㅠㅠ 내 입맛이 바뀐건지...,3,0
줄서서 먹을 만큼의 맛은 아니네요,3,0
샤인머스캣 에이드 너무 달아요,3.5,0
너무 비싸요,3,0
포장해서 먹었는데 속이 편해지는 맛이에요. 손님이 많아서 그런지 친절은 기대하기 어려워요. 한시간씩 기다려 먹기보단 포장해서 먹기를 추천합니다.,3.5,0
"진상 고객 응대는 제대로 하셔야 기존에 있던 고객이 편안하게 식사를 하죠 쌍욕하고 소리질러도 아무도 제지 안하고 목소리는 얼마나 큰지 밥먹는 내내 밥이 입으로 들어가는지 코로 들어
가는지 모르게 불편했네요 기분좋게 밥 먹으러왔는데 그런 환경이면 누가 밥이 넘어갈까요 입장 전에도 욕하고 난리치더만 애초에 입장을 막으셔야지 그런 몰상식한 사람들 때문에 입장도 
밀리고 고객 4사람 더 받겠다고 소란 피우고 경찰오게 하고 최악의 분위기, 환경이었습니다 경찰 오니까 손님 테이블에 와서 경찰 부르셨냐고 물어보는건 뭔가요  오기 전에 해결을 ...",0.5,0
"굳이 웨이팅하고?
두께보고 상당히 기대했건만 육즙나오지도 않고 걍 고기맛이네요.
왜 웨이팅하면서 맛있다고 하는지 잘 이해못하겠습니다.",0.5,0
"다 맛잇는데 뷰가 맛집이라 그런지 가격은 사악ㅎ
그래도주차장도 크고 좋아요",3,0
너무 비싸요,3,0
가성비 구림,2,0
.,2,0
숙소바로근처라 오전 8시쯤가니까 평일기준 15분안되게 기다린거 같아요 인기많아서 가봤는데 기다릴정도는 아닌거같고 재방문까지도 아닌거 같습니다 개인 입맛 차이가 있으니까 한번쯤은 먹어볼만 합니다.,3.5,0
맥주가 좀더 시원하면 좋겠어요,3.5,0
가다가 예뻐서 들러서 기본도넛샀어요,3.5,0
건물 데코 맛집,3,0
"음식재료와 맛은 좋았습니다.
양은 살짝 부족했지만..",3,0
장소가 협소해서  오붓한 식사를 하기엔 어수선했습니나 .입구에  앉아서 더 정신없어서 빨리 먹고 나왔구요 스페인 음식이라기보단 그냥 퓨전느낌이었어요,2.5,0
빵에서 비닐끈이 나왔음 ㅠㅠ. 엄마가 모르고 버려서 못들고 갔네요. 유명세만큼 품질관리 위생관리 신경 쓰셔야죠...,0.5,0
유명하다고해서 갔는데 제 입맛에는 그저그랬어용,2,0
좋아요~~~~~~~,3,0
맛나요.,3,0
"처음 먹었던 감동적인 맛이 아니에요 ㅠㅠ
왜 변한거쥬 ㅠㅠㅠㅠㅠㅠㅠ",2,0
"음식은 쏘쏘 ,, 2층 테이블들 바로바로 치워지지 않아서 날파리같은 벌레들이 많이 날아다녀요",2,0
그저 그럼,2.5,0
"여기 왜 별점5점주는지 이해가 정말안가는곳 인스타 네이버평점 보고갔다가 네이버평점 0.5점짜리 보고 그냥 믿을걸 칼국수는 김가루도없고 막걸리잔은 누가먹었는지 립스틱자국 범벅이고 위생은 최악임 누가 여길 맛집이라한겁니까 돈만 버
렸어요 차라리 사진만 찍으러가세요 맛집이라하지 마세요 여긴 맛집아닙니다 일하시는분도 표정 썩어가지고 응대도 안하고 화장실앞에 테이블도 있다는거에 웃음만나옴 아직도 화가나네 진짜",0.5,0
맛도 서비스도 이정도일줄은....,3,0
넘 성의가 없다. 음식도 맛도 정성도 친절도 기대하기 힘들다. 다신 안갈듯,1,0
예전같지 않은 맛... 근데 쭈꾸미 초벌해서 나오는건데 따뜻하지가 않네요?? 따뜻하면 훨씬 더 맛있을텐데.,3.5,0
좋아요,3,0
조개라 물리는게좀있어서 이것저것시키면 인당 35000정도? 그래도 바다나가서 먹는것보단싸고 내부 넓어서 괜찮음,3.5,0
우선 양이 너무 적어요. 비슷한 양과 가격대의 많은 고기집을 가봤지만 보통 둘이 가면 3인분 시키면 배불렀는데 여긴 4인분을 시켜도 배부른 느낌이 안드네요. 다른 리뷰에서 구워주신다는걸 봤는데 안구워주십니다. 처음에 물도 안갖다주시고 서비스가 전체적으로 실망스러웠습니다. 평점이 높아서 너무 기대를 했나봅니다. 그나마 고기맛은 괜찮았는데 이가격에 이맛 안나는 고기집은 없을것 같고... 그냥 근처에 먹을게 없다 이러면 들어가겠지만 굳이 찾아갈것 같진 않습니다.,2,0
그닥..,2.5,0
독특한메뉴라 한시간 넘는길 일부러 찾아가서 먹어봤습니다.멸치와 고사리의 식감은 참 좋았습니다.하지만 양념맛이 그리 맛있지는 않아서 아쉬웠구요.조금 매운감이 있었어요.그리고 평소에 상추보단 깻잎을 선호하는 편인데 깻잎향이 너무 강했습니다.반찬으로 나오는 멸치는 참 맛있었어요.,3,0
흑돼지 두루치기 고기가 별로인듯요,3,0
좋아요,3.5,0
슴슴하니 맛있어요~,3.5,0
전화주문하고 픽업했는ㄷㅔ 바쁜건 알겟지만 전화통화 왜이렇게 성의없게 뚝 끊으시는지.. 해전2인 4만3천원에 양이..너무 부실해요......... 나갔다가 지나가는길이라 주문했는데 너무 실망이네요 다신 안가고싶어요,1.5,0
맛이 좋습니다.,3,0
고기 맛이 그냥그냥...양도 적어요....겉보기엔 맛있어보임.,2,0
알바생도 뭐라는지 모르겠고 설명도 제대로 안해주고 가족들끼리 갔는데 클럽노래 때문에 서면 클럽 간줄 알았네요 공기밥도 다른 가게보다 비싼데 퍼다 만 밥을 주네요 그냥 홍보를 잘하신듯 하네요 ,0.5,0
좋아요,3,0
